Account Number;Pin;Name;Balance
763009;139174;Sganyodaiyo Birgitta;35
940283;218378;Candelario Célestine;380
898212;585459;Valli Naliaka;150
447080;543378;Alexandra Azra;160
919580;403181;Kornel Linda;140
698990;672736;Janet Abdiel;145
992817;159827;Jessica J?zeps;105
842437;760981;Cheftzi-Bah Seymour;350
633516;146299;Valeriana Kason;175
822997;178022;Elouise Joep;300
748075;160351;Hector Agáta;245
104481;455692;Onyinyechi Tutku;490
244664;735056;Lamija Raphael;55
706278;385291;Marcel Adalbern;300
665561;360392;Jaywant Valpuri;290
209916;379170;Ronny Ervin;80
818790;163925;Sekhar Zubin;245
976906;778138;Galla Yami;290
940440;440140;Floriana Alphege;495
906528;397437;Lena Tuileflaith;835
