Account Number;Pin;Name;Balance
906528;397437;Lena Tuileflaith;9605
822997;178022;Elouise Joep;430
633516;146299;Valeriana Kason;175
940440;440140;Floriana Alphege;495
898212;585459;Valli Naliaka;150
940283;218378;Candelario Celestine;380
447080;543378;Alexandra Azra;160
665561;360392;Jaywant Valpuri;290
818790;163925;Sekhar Zubin;245
104481;455692;Onyinyechi Tutku;380
209916;379170;Ronny Ervin;80
706278;385291;Marcel Adalbern;290
244664;735056;Lamija Raphael;55
698990;672736;Janet Abdiel;145
919580;403181;Kornel Linda;190
976906;778138;Galla Yami;290
842437;760981;Cheftzi-Bah Seymour;350
763009;139174;Sganyodaiyo Birgitta;210
748075;160351;Hector Agata;205
992817;159827;Jessica Jazeps;885
