Account Number;Type;From/To;Amount;Date;
906528;WITHDRAW;null;10;2022-07-06T16:48:23.375349;
906528;WITHDRAW;null;10;2022-07-06T16:49:50.127695900;
906528;WITHDRAW;null;10;2022-07-06T16:51:18.562014200;
906528;WITHDRAW;null;10;2022-07-06T16:51:22.198145600;
906528;WITHDRAW;null;50;2022-07-06T16:51:24.502669100;
906528;WITHDRAW;null;50;2022-07-06T16:51:33.726079900;
906528;WITHDRAW;null;10;2022-07-06T16:51:52.705210;
906528;WITHDRAW;null;10;2022-07-06T16:51:59.767171700;
906528;TRANSFER;447080;150;2022-07-06T16:54:19.298057500;
447080;RECEIVE;906528;150;2022-07-06T16:54:19.306063500;
906528;WITHDRAW;null;10;2022-07-06T16:56:48.705124800;
940440;WITHDRAW;null;10;2022-07-06T16:57:02.350053300;
940440;TRANSFER;919580;100;2022-07-06T16:57:18.518581500;
919580;RECEIVE;940440;100;2022-07-06T16:57:18.522575900;
