Account Number;Type;From/To;Amount;Date;
906528;WITHDRAW;null;10;2022-07-07T13:51:52.241642700;
209916;TRANSFER;906528;50;2022-07-07T14:33:35.906128200;
906528;RECEIVES;209916;50;2022-07-07T14:33:35.912149700;
906528;WITHDRAW;null;10;2022-07-08T15:07:34.424451400;
906528;WITHDRAW;null;100;2022-07-08T15:07:38.590933600;
906528;TRANSFER;822997;150;2022-07-08T15:07:51.082018400;
822997;RECEIVES;906528;150;2022-07-08T15:07:51.085960300;
822997;WITHDRAW;null;50;2022-07-08T15:08:13.383814800;
906528;WITHDRAW;null;10;2022-07-19T14:47:46.090350400;
906528;WITHDRAW;null;10;2022-07-19T14:48:26.871341600;
906528;WITHDRAW;null;100;2022-07-19T14:48:34.179594100;
822997;WITHDRAW;null;10;2022-07-19T14:52:00.715646900;
822997;WITHDRAW;null;10;2022-07-19T14:52:16.196139300;
